City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
295,Karratha,AU,86.52,clear sky,-20.7377,116.8463,ibis Styles Karratha
296,Sur,OM,82.13,clear sky,22.5667,59.5289,Sur Plaza Hotel
297,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
298,Ambovombe,MG,78.13,few clouds,-25.1667,46.0833,RELAHARA
302,Moussoro,TD,73.98,broken clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
309,Callaway,US,71.98,overcast clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
310,Tarakan,ID,85.5,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
311,Ariquemes,BR,71.94,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
312,Mayo,US,72.07,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
315,Sao Miguel Do Araguaia,BR,74.17,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
319,Rio De Janeiro,BR,73.94,light rain,-22.9028,-43.2075,Hotel cruz de ouro
321,Rafaela,AR,70.99,broken clouds,-31.2503,-61.4867,Parra Hotel & Suites
327,Faanui,PF,77.86,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
329,Meulaboh,ID,78.57,overcast clouds,4.1363,96.1285,Kost Pria
334,Nicoya,CR,72.07,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
338,Sal Rei,CV,75.22,few clouds,16.1833,-22.9167,Marine Club Beach Resort
340,Bowen,AU,79.75,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
341,Fare,PF,78.19,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
342,Pitimbu,BR,75.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
343,Martapura,ID,84.29,moderate rain,-3.4167,114.85,Montana Hotel Syariah
346,Quatre Cocos,MU,79.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
348,Kavaratti,IN,82.56,overcast clouds,10.5669,72.642,Green leaf
350,Sukumo,JP,71.98,scattered clouds,32.9333,132.7333,Sukumojo
351,Cayenne,GF,75.24,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
353,Itoman,JP,78.82,light intensity shower rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
355,Canton,CN,85.95,clear sky,23.1167,113.25,Shangjiuwan Hotel
356,Bantul,ID,85.19,overcast clouds,-7.8881,110.3289,dOmah Hotel Yogya
359,Mackay,AU,85.68,clear sky,-21.15,149.2,International Lodge Motel
361,Vanimo,PG,84.25,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
362,Kavieng,PG,82.9,moderate rain,-2.5744,150.7967,Nusa Island Retreat
363,Guatire,VE,77.2,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
364,Mucurapo,TT,77.25,broken clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
365,Acapulco,MX,78.62,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
366,Buritizeiro,BR,70.77,overcast clouds,-17.3511,-44.9622,Santos Palace Hotel
367,Mutis,CO,75.94,light rain,6.2262,-77.4044,Paraiso Escondido
369,Pespire,HN,71.64,scattered clouds,13.5922,-87.3617,Palmeras
375,Umm Lajj,SA,76.95,clear sky,25.0213,37.2685,Moon light Furnished Units
379,Ngerengere,TZ,77.61,broken clouds,-6.75,38.1167,Masurura Lodge
384,Presidencia Roque Saenz Pena,AR,71.02,overcast clouds,-26.7852,-60.4388,Hotel Gualok
385,Coahuayana,MX,74.75,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
387,Harper,LR,76.73,light rain,4.375,-7.7169,Screensaver
393,San Ignacio,BZ,73.54,clear sky,17.1561,-89.0714,Rainforest Haven Inn
395,Sambava,MG,78.08,clear sky,-14.2667,50.1667,Melrose
396,Singkawang,ID,81.52,overcast clouds,0.9,109.0,Capital O 1822 Wahana Inn
400,Moron,AR,73.96,moderate rain,-34.6534,-58.6198,Hotel Morón
401,Xique-Xique,BR,77.94,broken clouds,-10.8218,-42.7263,Hotel J. Macedo
402,Yeppoon,AU,85.78,clear sky,-23.1333,150.7333,Villa Mar Colina
405,Itaituba,BR,72.95,broken clouds,-4.2761,-55.9836,Hotel Campos
