City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Current Description
91,Cape Town,4,ZA,2022-11-12 05:11:37,69,-33.9258,18.4232,65.12,7.0,clear sky
92,Markova,100,UA,2022-11-12 05:12:30,80,48.6758,24.4138,42.75,3.38,overcast clouds
93,Lethem,27,GY,2022-11-12 05:12:30,84,3.3803,-59.7968,73.99,6.17,scattered clouds
94,Vardo,100,NO,2022-11-12 05:12:31,96,70.3705,31.1107,39.72,12.12,light rain
95,Dikson,75,RU,2022-11-12 05:13:31,100,73.5069,80.5464,-6.52,2.48,broken clouds
96,Rawson,96,AR,2022-11-12 05:13:31,78,-43.3002,-65.1023,55.94,17.6,overcast clouds
97,Los Llanos De Aridane,20,ES,2022-11-12 05:13:31,74,28.6585,-17.9182,64.15,10.0,few clouds
98,Chicama,69,PE,2022-11-12 05:09:50,85,-7.8447,-79.1469,59.54,6.06,broken clouds
99,Estelle,0,US,2022-11-12 05:13:32,82,29.8458,-90.1067,68.0,0.0,mist
100,Vnorovy,100,CZ,2022-11-12 05:13:32,74,48.931,17.3505,43.0,3.6,overcast clouds
101,Gambela,100,ET,2022-11-12 05:13:32,84,8.25,34.5833,72.93,4.0,overcast clouds
102,Lorengau,100,PG,2022-11-12 05:13:32,79,-2.0226,147.2712,82.04,4.07,heavy intensity rain
103,Okha,83,RU,2022-11-12 05:13:33,65,53.5739,142.9478,29.8,8.88,broken clouds
104,Emerald,0,AU,2022-11-12 05:13:33,39,-23.5333,148.1667,89.35,4.79,clear sky
105,Belmonte,53,BR,2022-11-12 05:13:33,86,-15.8631,-38.8828,73.58,4.32,broken clouds
106,Paamiut,100,GL,2022-11-12 05:13:33,94,61.994,-49.6678,27.1,21.54,light snow
107,High Level,100,CA,2022-11-12 05:13:34,100,58.5169,-117.136,15.91,3.44,snow
108,Carnarvon,0,AU,2022-11-12 05:13:34,45,-24.8667,113.6333,70.75,20.45,clear sky
109,Georgetown,20,MY,2022-11-12 05:09:33,75,5.4112,100.3354,87.73,3.44,few clouds
110,Seoul,75,KR,2022-11-12 05:13:06,53,37.5683,126.9778,71.17,10.36,broken clouds
111,Bac Lieu,69,VN,2022-11-12 05:13:34,65,9.285,105.7244,86.16,11.21,broken clouds
112,Avarua,40,CK,2022-11-12 05:13:34,68,-21.2078,-159.775,73.45,11.5,scattered clouds
113,Kolchugino,100,RU,2022-11-12 05:13:35,93,56.3,39.3833,46.6,12.86,overcast clouds
114,Yulara,0,AU,2022-11-12 05:13:35,11,-25.2406,130.9889,98.44,20.71,clear sky
115,Taft,98,IR,2022-11-12 05:13:35,46,31.7471,54.2088,56.66,1.72,overcast clouds
